UFID,x,y
100037612010B001142e2fd0a84ee4806,126.9964864833,37.4972572005
100037612010B0011f135291f118f4d7c,126.9972939299,37.4973883886
100037612010B001167c1b343b0e24d75,126.9960071521,37.4969788850
100037612010B0011f047dd16f6d74ac3,126.9974550732,37.4971532097
100037612010B0011163378dc03dd4df0,126.9964910042,37.4976617802
100037612010B0011e952111d69cf4245,126.9962629431,37.4975327314
100037612010B00110b5a176d6fc246b5,126.9967769600,37.4971520175
100037612010B0011b8deaafd795049f7,126.9972657531,37.4967011696
100037612010B0011c92d8ce6e68643a6,126.9967764813,37.4974620690
100037612010B0011d87b882dc0a4491b,126.9962709865,37.4976729529
100037612010B00119696516908554381,126.9968884409,37.4965463949
100037612010B00115abb27202ab847ec,126.9967096913,37.4963313165
100037612010B0011476e3a05a4ed43a8,126.9970364053,37.4955581012
100037612010B0011925e484f17d047cf,126.9973241260,37.4960307645
100037612010B0011224c84f291074dfe,126.9966847107,37.4960447788
100037612010B00110b5ad49d05994ea5,126.9970554755,37.4958014853
100037612010B0011601c073a176748fa,126.9966377321,37.4956153136
100037612010B00112dcadac052c74aa5,126.9966347347,37.4958317228
100037612010B0011130789f03753445b,126.9967133210,37.4950843626
100037612010B0011acefe3b7b4a549ec,126.9975839633,37.4954617046
100037612010B0011b4aad28374444e92,126.9960478102,37.4978232902
100037612010B00111c01137c72ae43cc,126.9962188492,37.4969644927
100037612010B0011041f0e0b76fd4b21,126.9966135139,37.4944311980
100037612010B00116dfeb68a201f4eeb,126.9973213229,37.4944816314
100037612010B00112ce40e948a2e44cd,126.9961193658,37.4946487225
100037612010B001191a8759b3f994db9,126.9974345572,37.4942095169
100037612010B00116bd4c0414026424d,126.9966492386,37.4953936303
100037612010B001116608b4d6c5341d8,126.9972457795,37.4951156469
100037709001B001148f648da416d4f97,127.0000534639,37.4974042545
100037709001B001191501256c4e2478e,127.0000530935,37.4970108484
100037709001B00112844f490587a4f1a,127.0001851891,37.4978192813
100037709001B0011456cdb1788664a2a,127.0001848220,37.4980417675
100037709001B001188509d28c3164cdf,127.0001186959,37.4951582869
100037709001B0011d19d913fedbd492e,127.0000400412,37.4949197899
100037709001B0011737f85695aab441c,127.0001273502,37.4952822227
100037709001B0011a52186718e0740d2,127.0001059082,37.4950261258
100037612010B0011f2ba8bb8e8f94220,126.9985057976,37.4951585703
100037612010B001195c7199a006942fe,126.9998182517,37.4983743281
100037612010B001148a76b13917e4b4b,126.9963065564,37.4984886219
100037612010B0011a292f29eb9ea436f,126.9991827802,37.4952791475
100037612010B0011284f25db6bc54d25,126.9957602495,37.4972395382
100037612010B00116073ad02f61e4037,126.9919658684,37.4975108068
100037709001B0011195dddcdf360432d,127.0007122629,37.4978070615
100037612010B0011996dd76808b046c3,126.9950228364,37.4968238317
100037709001B00113e374d5c584c4410,127.0009059026,37.4980180275
